TEFF   6000.  GRAVITY 1.50000 LTE 
TITLE  [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                    
FLUX    1     9.09        3.298047E+16   2.5000E-39   2.5000E-39   1.00000
FLUX    2     9.35        3.206337E+16   2.5000E-39   2.5000E-39   1.00000
FLUX    3     9.61        3.119589E+16   2.5000E-39   2.5000E-39   1.00000
FLUX    4     9.77        3.068500E+16   3.2275-172   3.2276-172   0.99998
FLUX    5     9.96        3.009965E+16   5.6808-169   5.6809-169   0.99998
FLUX    6    10.20        2.939142E+16   4.7804-165   4.7805-165   0.99998
FLUX    7    10.38        2.888174E+16   3.1871-162   3.1871-162   0.99998
FLUX    8    10.56        2.838944E+16   1.6993-159   1.6994-159   0.99998
FLUX    9    10.77        2.783589E+16   1.9736-156   1.9737-156   0.99998
FLUX   10    11.04        2.715512E+16   1.1574-152   1.1574-152   0.99998
FLUX   11    11.40        2.629759E+16   6.4187-148   6.4188-148   0.99998
FLUX   12    11.78        2.544928E+16   3.1477-143   3.1478-143   0.99998
FLUX   13    12.13        2.471496E+16   3.5960-139   3.5961-139   0.99998
FLUX   14    12.48        2.402184E+16   2.4188-135   2.4189-135   0.99998
FLUX   15    12.71        2.358714E+16   6.0707-133   6.0708-133   0.99998
FLUX   16    12.84        2.334833E+16   1.2626-131   1.2626-131   0.99998
FLUX   17    13.05        2.297260E+16   1.4941-129   1.4941-129   0.99998
FLUX   18    13.24        2.264294E+16   9.8314-128   9.8316-128   0.99998
FLUX   19    13.39        2.238928E+16   2.4623-126   2.4623-126   0.99998
FLUX   20    13.66        2.194674E+16   6.7736-124   6.7737-124   0.99998
FLUX   21    13.98        2.144439E+16   3.9709-121   3.9710-121   0.99998
FLUX   22    14.33        2.092062E+16   3.0395-118   3.0396-118   0.99998
FLUX   23    14.72        2.036634E+16   3.4127-115   3.4128-115   0.99998
FLUX   24    15.10        1.985381E+16   2.2492-112   2.2492-112   0.99998
FLUX   25    15.52        1.931653E+16   2.0195-109   2.0196-109   0.99998
FLUX   26    15.88        1.887862E+16   5.1321-107   5.1322-107   0.99998
FLUX   27    16.20        1.850571E+16   5.7193-105   5.7194-105   0.99998
FLUX   28    16.60        1.805979E+16   1.5989-102   1.5990-102   0.99998
FLUX   29    17.03        1.760379E+16   5.0582-100   5.0583-100   0.99998
FLUX   30    17.34        1.728907E+16   2.6812E-98   2.6812E-98   0.99998
